Country,Status,Process,Age Group,Sex,  POC  
Other Nationalites,REF,A,0 - 4 years,Male, 1 
Other Nationalites,REF,A,12 - 17 years,Female, 3 
Other Nationalites,REF,A,12 - 17 years,Male, 2 
Other Nationalites,REF,A,18 - 59 years,Female, 16 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,5 - 11 years,Female, 2 
Other Nationalites,REF,A,5 - 11 years,Male, 2 
Other Nationalites,ASR,A,0 - 4 years,Male, 3 
Other Nationalites,ASR,A,12 - 17 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 15 
Other Nationalites,ASR,A,18 - 59 years,Male, 7 
Other Nationalites,ASR,A,5 - 11 years,Female, 1 
Other Nationalites,ASR,A,5 - 11 years,Male, 1 
Other Nationalites,REF,A,0 - 4 years,Female, 1 
Other Nationalites,REF,A,0 - 4 years,Male, 2 
Other Nationalites,REF,A,18 - 59 years,Female, 2 
Other Nationalites,REF,A,18 - 59 years,Male, 3 
Other Nationalites,REF,A,5 - 11 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 4 
Other Nationalites,REF,A,0 - 4 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 1 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,0 - 4 years,Female, 1 
Other Nationalites,ASR,A,12 - 17 years,Female, 2 
Other Nationalites,ASR,A,18 - 59 years,Female, 6 
Other Nationalites,ASR,A,18 - 59 years,Male, 7 
Other Nationalites,ASR,A,5 - 11 years,Female, 2 
Other Nationalites,ASR,A,5 - 11 years,Male, 3 
Other Nationalites,ASR,A,5 - 11 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 159 
Other Nationalites,ASR,A,5 - 11 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Female, 2 
Other Nationalites,ASR,A,18 - 59 years,Male, 1 
Other Nationalites,REF,A,18 - 59 years,Female, 1 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 15 
Other Nationalites,REF,A,18 - 59 years,Male, 1 
Other Nationalites,ASR,A,18 - 59 years,Male, 5 
